Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,0,128,23
100,2,8,0,128,19
100,5,1,0,1024,11
100,4,8,0,128,44
100,6,2,0,512,11
100,7,4,0,256,10
100,8,8,0,128,10
100,9,16,0,64,10
100,10,32,0,32,10
100,11,32,0,32,10
100,12,32,0,32,10
100,13,32,0,32,10
100,14,32,0,32,10
930,1,8,0,128,23
930,2,8,0,128,19
930,5,1,0,1024,94
930,4,8,0,128,127
930,6,2,0,512,94
930,7,4,0,256,93
930,8,8,0,128,93
930,9,16,0,64,93
930,10,32,0,32,93
930,11,32,0,32,93
930,12,32,0,32,93
930,13,32,0,32,93
930,14,32,0,32,93
1760,1,8,0,128,23
1760,2,8,0,128,19
1760,5,1,0,1024,177
1760,4,8,0,128,210
1760,6,2,0,512,177
1760,7,4,0,256,176
1760,8,8,0,128,176
1760,9,16,0,64,176
1760,10,32,0,32,176
1760,11,32,0,32,176
1760,12,32,0,32,176
1760,13,32,0,32,176
1760,14,32,0,32,176
2650,1,8,0,128,23
2650,2,8,0,128,19
2650,5,1,0,1024,266
2650,4,8,0,128,299
2650,6,2,0,512,266
2650,7,4,0,256,265
2650,8,8,0,128,265
2650,9,16,0,64,265
2650,10,32,0,32,265
2650,11,32,0,32,265
2650,12,32,0,32,265
2650,13,32,0,32,265
2650,14,32,0,32,265
3480,1,8,0,128,23
3480,2,8,0,128,19
3480,5,1,0,1024,349
3480,4,8,0,128,382
3480,6,2,0,512,349
3480,7,4,0,256,348
3480,8,8,0,128,348
3480,9,16,0,64,348
3480,10,32,0,32,348
3480,11,32,0,32,348
3480,12,32,0,32,348
3480,13,32,0,32,348
3480,14,32,0,32,348
4360,1,8,0,128,23
4360,2,8,0,128,19
4360,5,1,0,1024,437
4360,4,8,0,128,470
4360,6,2,0,512,437
4360,7,4,0,256,436
4360,8,8,0,128,436
4360,9,16,0,64,436
4360,10,32,0,32,436
4360,11,32,0,32,436
4360,12,32,0,32,436
4360,13,32,0,32,436
4360,14,32,0,32,436
5190,1,8,0,128,23
5190,2,8,0,128,19
5190,5,1,0,1024,520
5190,4,8,0,128,553
5190,6,2,0,512,520
5190,7,4,0,256,519
5190,8,8,0,128,519
5190,9,16,0,64,519
5190,10,32,0,32,519
5190,11,32,0,32,519
5190,12,32,0,32,519
5190,13,32,0,32,519
5190,14,32,0,32,519
6070,1,8,0,128,23
6070,2,8,0,128,19
6070,5,1,0,1024,608
6070,4,8,0,128,641
6070,6,2,0,512,608
6070,7,4,0,256,607
6070,8,8,0,128,607
6070,9,16,0,64,607
6070,10,32,0,32,607
6070,11,32,0,32,607
6070,12,32,0,32,607
6070,13,32,0,32,607
6070,14,32,0,32,607
6900,1,8,0,128,23
6900,2,8,0,128,19
6900,5,1,0,1024,691
6900,4,8,0,128,724
6900,6,2,0,512,691
6900,7,4,0,256,690
6900,8,8,0,128,690
6900,9,16,0,64,690
6900,10,32,0,32,690
6900,11,32,0,32,690
6900,12,32,0,32,690
6900,13,32,0,32,690
6900,14,32,0,32,690
7780,1,8,0,128,23
7780,2,8,0,128,19
7780,5,1,0,1024,779
7780,4,8,0,128,812
7780,6,2,0,512,779
7780,7,4,0,256,778
7780,8,8,0,128,778
7780,9,16,0,64,778
7780,10,32,0,32,778
7780,11,32,0,32,778
7780,12,32,0,32,778
7780,13,32,0,32,778
7780,14,32,0,32,778
8610,1,8,0,128,23
8610,2,8,0,128,19
8610,5,1,0,1024,862
8610,4,8,0,128,895
8610,6,2,0,512,862
8610,7,4,0,256,861
8610,8,8,0,128,861
8610,9,16,0,64,861
8610,10,32,0,32,861
8610,11,32,0,32,861
8610,12,32,0,32,861
8610,13,32,0,32,861
8610,14,32,0,32,861
9490,1,8,0,128,23
9490,2,8,0,128,19
9490,5,1,0,1024,950
9490,4,8,0,128,983
9490,6,2,0,512,950
9490,7,4,0,256,949
9490,8,8,0,128,949
9490,9,16,0,64,949
9490,10,32,0,32,949
9490,11,32,0,32,949
9490,12,32,0,32,949
9490,13,32,0,32,949
9490,14,32,0,32,949
10320,1,8,0,128,23
10320,2,8,0,128,19
10320,5,1,0,1024,1033
10320,4,8,0,128,1066
10320,6,2,0,512,1033
10320,7,4,0,256,1032
10320,8,8,0,128,1032
10320,9,16,0,64,1032
10320,10,32,0,32,1032
10320,11,32,0,32,1032
10320,12,32,0,32,1032
10320,13,32,0,32,1032
10320,14,32,0,32,1032
11200,1,8,0,128,23
11200,2,8,0,128,19
11200,5,1,0,1024,1121
11200,4,8,0,128,1154
