Time,PID,Tickets,Pass,Stride,Runtime
106,1,8,2944,128,23
106,2,8,5248,128,18
106,5,1,10688,1024,2
106,4,8,10286,128,39
106,6,2,10176,512,2
106,7,4,10176,256,3
106,8,8,10176,128,5
106,9,16,10176,64,9
106,10,32,10176,32,17
106,11,32,10176,32,17
106,12,32,10176,32,17
106,13,32,10176,32,17
106,14,32,10176,32,17
2121,1,8,2944,128,23
2121,2,8,5248,128,18
2121,5,1,21952,1024,13
2121,4,8,21059,128,120
2121,6,2,21440,512,24
2121,7,4,21184,256,46
2121,8,8,21056,128,90
2121,9,16,20992,64,178
2121,10,32,20960,32,354
2121,11,32,20960,32,354
2121,12,32,20960,32,354
2121,13,32,20960,32,354
2121,14,32,20960,32,354
4274,1,8,2944,128,23
4274,2,8,5248,128,18
4274,5,1,33216,1024,24
4274,4,8,32630,128,207
4274,6,2,32704,512,46
4274,7,4,32704,256,91
4274,8,8,32576,128,180
4274,9,16,32512,64,358
4274,10,32,32512,32,715
4274,11,32,32512,32,715
4274,12,32,32512,32,715
4274,13,32,32512,32,715
4274,14,32,32512,32,715
6261,1,8,2944,128,23
6261,2,8,5248,128,18
6261,5,1,43456,1024,34
6261,4,8,43270,128,287
6261,6,2,43456,512,67
6261,7,4,43200,256,132
6261,8,8,43200,128,263
6261,9,16,43200,64,525
6261,10,32,43168,32,1048
6261,11,32,43168,32,1048
6261,12,32,43168,32,1048
6261,13,32,43168,32,1048
6261,14,32,43168,32,1048
8391,1,8,2944,128,23
8391,2,8,5248,128,18
8391,5,1,54720,1024,45
8391,4,8,54708,128,373
8391,6,2,54720,512,89
8391,7,4,54720,256,177
8391,8,8,54592,128,352
8391,9,16,54592,64,703
8391,10,32,54592,32,1405
8391,11,32,54592,32,1405
8391,12,32,54592,32,1405
8391,13,32,54592,32,1405
8391,14,32,54592,32,1405
10381,1,8,2944,128,23
10381,2,8,5248,128,18
10381,5,1,65984,1024,56
10381,4,8,65348,128,453
10381,6,2,65472,512,110
10381,7,4,65472,256,219
